id,name,num_bedrooms,bedroom_type,num_of_beds,num_of_bathrooms,bathroom_type,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7368173,Home in Brooklyn ,4,bedrooms,4,3,baths,Chardean,Brooklyn,Park Slope,40.67428,-73.98194,Entire home/apt,643,30,1,7/16/2021,0.03,1,276,0,
28514974,Rental unit in Brooklyn,9,bedrooms,1,1,shared,Leo,Brooklyn,Greenpoint,40.72106,-73.94702,Private room,95,30,5,7/15/2021,0.08,2,0,0,
50307683,Rental unit in Brooklyn ,1,bedroom,1,2,shared,Eibhlin,Brooklyn,Bedford-Stuyvesant,40.68895,-73.92867,Private room,37,30,1,7/15/2021,0.03,23,249,0,
30387495,Rental unit in New York ,1,bedroom,1,1,bath,Alexis,Manhattan,Upper West Side,40.777553,-73.9834589,Entire home/apt,255,31,1,7/14/2021,0.03,713,277,0,
2863589,Serviced apartment in New York,1, Studio ,1,1,bath,Ofer,Manhattan,Upper West Side,40.79205,-73.97433,Entire home/apt,79,30,26,7/12/2021,0.23,6,0,0,
9730117,Loft in Brooklyn,1,bedroom,1,1,bath,Paula,Brooklyn,Bedford-Stuyvesant,40.68788,-73.95395,Entire home/apt,175,30,12,7/11/2021,0.13,1,0,0,
34485286,Hotel in New York ,1,bedroom,2,1,private,ModernHaus SoHo,Manhattan,SoHo,40.72277,-74.0048,Private room,700,1,2,7/11/2021,0.04,7,353,0,Exempt
50046718,Rental unit in Brooklyn ,1,bedroom,1,1,shared,Aleph,Brooklyn,Crown Heights,40.67687,-73.95742,Private room,62,30,1,7/11/2021,0.03,32,364,0,
50873649,Rental unit in Brooklyn ,1,bedroom,1,1,shared,Jorey,Brooklyn,Bushwick,40.69608,-73.93293,Private room,132,30,1,7/11/2021,0.03,1,0,0,
17899730,Rental unit in Bronx,1,bedroom,1,1,bath,Sean,Bronx,Tremont,40.84685,-73.89016,Entire home/apt,181,30,51,7/10/2021,0.62,1,154,0,
46193714,Rental unit in New York ,1, Studio ,1,1,bath,Stanley,Manhattan,Murray Hill,40.74993,-73.97569,Entire home/apt,100,30,2,7/9/2021,0.06,83,365,0,
43744465,Earthen home in Brooklyn ,1,bedroom,2,1,shared,Mark,Brooklyn,Bedford-Stuyvesant,40.68295,-73.91738,Private room,75,30,1,7/8/2021,0.03,2,178,0,
15528972,Condo in New York,2,bedrooms,2,1,bath,Sam,Manhattan,Upper West Side,40.79889,-73.96186,Entire home/apt,390,30,84,7/7/2021,0.98,1,364,0,
11873498,Rental unit in New York,1,bedroom,1,1,shared,Maya,Manhattan,Harlem,40.8234,-73.95293,Private room,35,30,28,7/6/2021,0.3,2,0,0,
48423570,Rental unit in New York,1,bedroom,1,1,bath,Michael,Manhattan,Lower East Side,40.71944,-73.99119,Entire home/apt,210,30,3,7/6/2021,0.09,1,89,0,
43251455,Rental unit in Brooklyn ,1,bedroom,1,1,shared,Aleph,Brooklyn,Park Slope,40.67147,-73.98701,Private room,52,30,1,7/6/2021,0.03,32,344,0,
10733505,Rental unit in New York,1,bedroom,1,1,bath,Nia,Manhattan,Hell's Kitchen,40.76453,-73.98774,Entire home/apt,300,30,4,7/4/2021,0.05,1,0,0,
45748469,Rental unit in Queens ,1,bedroom,1,1,shared,Fukuda,Queens,Arverne,40.59178,-73.7934,Private room,53,30,2,7/3/2021,0.06,2,0,0,
24350254,Rental unit in New York,2,bedrooms,1,1,bath,Kiki,Manhattan,West Village,40.73371,-74.00787,Entire home/apt,248,30,3,7/3/2021,0.04,2,51,0,
44448503,Rental unit in New York ,1,bedroom,1,1,shared,Rachel,Manhattan,Upper West Side,40.80169,-73.96628,Private room,61,30,1,7/3/2021,0.03,2,0,0,
46113799,Rental unit in New York ,1,bedroom,1,1,bath,Blueground,Manhattan,Midtown,40.7647977,-73.9827291,Entire home/apt,260,31,1,7/3/2021,0.03,713,303,0,
34593055,Rental unit in New York ,2,bedrooms,2,2,baths,Blueground,Manhattan,Upper West Side,40.782004,-73.976026,Entire home/apt,322,31,1,7/2/2021,0.03,713,255,0,
47483640,Rental unit in New York,1,bedroom,1,1,shared,John,Manhattan,Harlem,40.8219,-73.95403,Private room,51,30,3,7/1/2021,0.08,1,0,0,
2453730,Rental unit in Brooklyn,2,bedrooms,5,1,bath,Georgia,Brooklyn,Gowanus,40.67817,-73.99123,Entire home/apt,130,30,3,7/1/2021,0.05,1,177,0,
